Frame (#),Attempts (k),Total Time Taken (seconds),Backoff Time (seconds),
1,1.00,2.00,0.000000,
2,1.00,2.00,0.000000,
3,1.00,2.00,0.000000,
4,1.00,2.00,0.000000,
5,1.00,2.00,0.000000,
6,1.00,2.00,0.000000,
7,1.00,2.00,0.000000,
8,2.00,4.00,0.000000,
9,1.00,2.00,0.000000,
10,1.00,2.00,0.000000,
11,1.00,2.00,0.000000,
12,3.00,6.00,0.000003,
13,13.00,26.01,0.005871,
14,1.00,2.00,0.005871,
15,4.00,8.00,0.000003,
16,2.00,4.00,0.000000,
17,3.00,6.00,0.000002,
18,2.00,4.00,0.000000,
19,1.00,2.00,0.000000,
20,1.00,2.00,0.000000,
21,1.00,2.00,0.000000,
22,1.00,2.00,0.000000,
23,3.00,6.00,0.000002,
24,1.00,2.00,0.000002,
25,2.00,4.00,0.000000,
26,4.00,8.00,0.000002,
27,1.00,2.00,0.000002,
28,1.00,2.00,0.000002,
29,3.00,6.00,0.000000,
30,1.00,2.00,0.000000,
31,1.00,2.00,0.000000,
32,1.00,2.00,0.000000,
33,1.00,2.00,0.000000,
34,5.00,10.00,0.000009,
35,1.00,2.00,0.000009,
36,2.00,4.00,0.000000,
37,3.00,6.00,0.000000,
38,1.00,2.00,0.000000,
39,2.00,4.00,0.000000,
40,2.00,4.00,0.000000,
41,1.00,2.00,0.000000,
42,1.00,2.00,0.000000,
43,2.00,4.00,0.000000,
44,2.00,4.00,0.000000,
45,3.00,6.00,0.000003,
46,3.00,6.00,0.000003,
47,7.00,14.00,0.000042,
48,2.00,4.00,0.000000,
49,3.00,6.00,0.000000,
50,1.00,2.00,0.000000,
51,2.00,4.00,0.000000,
52,1.00,2.00,0.000000,
53,2.00,4.00,0.000000,
54,2.00,4.00,0.000000,
55,1.00,2.00,0.000000,
56,1.00,2.00,0.000000,
57,2.00,4.00,0.000000,
58,2.00,4.00,0.000000,
59,1.00,2.00,0.000000,
60,2.00,4.00,0.000000,
61,1.00,2.00,0.000000,
62,2.00,4.00,0.000000,
63,1.00,2.00,0.000000,
64,4.00,8.00,0.000008,
65,1.00,2.00,0.000008,
66,1.00,2.00,0.000008,
67,2.00,4.00,0.000000,
68,2.00,4.00,0.000000,
69,1.00,2.00,0.000000,
70,1.00,2.00,0.000000,
71,1.00,2.00,0.000000,
72,1.00,2.00,0.000000,
73,1.00,2.00,0.000000,
74,1.00,2.00,0.000000,
75,2.00,4.00,0.000000,
76,2.00,4.00,0.000000,
77,1.00,2.00,0.000000,
78,1.00,2.00,0.000000,
79,4.00,8.00,0.000006,
80,2.00,4.00,0.000000,
81,5.00,10.00,0.000003,
82,1.00,2.00,0.000003,
83,3.00,6.00,0.000002,
84,1.00,2.00,0.000002,
85,2.00,4.00,0.000000,
86,1.00,2.00,0.000000,
87,1.00,2.00,0.000000,
88,1.00,2.00,0.000000,
89,1.00,2.00,0.000000,
90,1.00,2.00,0.000000,
91,1.00,2.00,0.000000,
92,2.00,4.00,0.000000,
93,4.00,8.00,0.000005,
94,3.00,6.00,0.000002,
95,1.00,2.00,0.000002,
96,7.00,14.00,0.000000,
97,2.00,4.00,0.000000,
98,6.00,12.00,0.000036,
99,4.00,8.00,0.000009,
100,1.00,2.00,0.000009,
